batch,index,music,hashtag,author,likes,comments,shares,saves,video_id
1,0,original sound - Zander Silva,"capcut, fyp, fyppppppppppppppppppppppp, fyppp, fyp%E3%82%B7, fypage, fyp%E3%82%B7%E3%82%9Aviral, fypage, fyp%E3%82%B7%E3%82%9Aviral, foryoupage, funnyvideos%F0%9F%98%82%F0%9F%98%82%F0%9F%98%82, funnyvideos%F0%9F%98%82%F0%9F%98%82%F0%9F%98%82, funnytiktok",funnny_for_you,1100000,12300,186300,79200,xgwrapper-0-7307643639881010475
1,1,,"viral, foryou",,709400,5975,46600,26700,-1
1,2,,igmirandahhmarie,,403300,1670,43400,6953,-1
1,3,,"food, cooking, foodie, fouryou",,1700000,11200,236700,211100,-1
1,4,,"@cat.janice, 1",happykelli,467500,4468,11300,3648,-1
1,5,,"fyp, colorfulhair, viral, sunsethaircolor, zyxcba, hairdye, adorehairdye, newhaircolor, sunsetcolors, purplesunset",,988500,4655,80600,6244,-1
1,6,,"@tragicthegreat, fortnite, fortnitefail, fortnitefunny, fortnitechapter5, fyp",,572700,4961,80600,9297,-1
1,7,,"palworld, palworldgame, palworldgameplay, palworldclips, fypage, fyp, fyp%E3%82%B7, gaming, gamingontiktok",,534000,3131,58400,73800,-1
2,0,,riphellokitty,,8400000,35400,671800,111800,-1
2,1,,,,4900000,51300,238500,91800,-1
2,2,,"cute, rabbit",,13200000,71600,1100000,794100,-1
2,3,,"camri, funny, laughter, measure, infomercial",,1100000,2343,30400,8216,-1
2,4,,@j6ydan,,8300000,46400,528300,152100,-1
2,5,,"fyp, 4u, relatable, viral, emo, 08, tgcf, obeymeshallwedate, genshinimpact, highschool",,857600,8189,95400,6472,-1
2,6,,"fyp%E3%82%B7, thegrinch, twins, finalsweek",,123200,485,15000,1329,-1
2,7,,"%D1%81%D0%BB%D0%BE%D0%B2%D0%BE%D0%BF%D0%B0%D1%86%D0%B0%D0%BD%D0%B0, %D1%81%D0%BB%D0%BE%D0%B2%D0%BE_%D0%BF%D0%B0%D1%86%D0%B0%D0%BD%D0%B0",,1300000,5388,175100,32100,-1
2,8,,,,3300000,29400,214900,93000,-1
2,9,,"@kourtney0805, fypp, siblings, foru, foryoupage, viral, tiktok, like, comment, repost, follow, petty",,670100,3682,60500,6352,-1
2,10,,"bradynoon, vsp, fyp, stxrivsp, trending",,318500,2869,78400,2679,-1
2,11,,"winter, harrypotter, ice, icecicles",,2700000,12100,201900,54300,-1
2,12,,"ogfortnite, victoryroyale, fyp, holidayseason",,380000,3522,29100,4766,-1
2,13,,"capcut, funny, funnyvideos, meme, funnyvideo, trending, viral, fyp",,23600,142,2230,214,-1
2,14,,"miketysonduet, fan, duet, foryou, viral, fyp, omg, hack, lifehacks, asmr, diy, kitchen, tutorial, learnontiktok, satisfying, perfect, creative, creation, home, food, trick, tips, tools, %F0%9F%98%B1, %E2%9D%A4%EF%B8%8F, %F0%9F%87%BA%F0%9F%87%B8",,29200,173,1978,630,-1
2,15,,,,25300,192,2405,2243,-1
2,16,,"generations, generation, fyp, fyp%E3%82%B7, foryou, trending, fish, fishing, fishtok",,113200,5951,5999,1693,-1
2,17,,"fyp, foryoupage",,6000000,42100,545200,123100,-1
2,18,,"joshhutcherson, fivenightsatfreddy",harry.daniels,12800000,138300,1200000,253100,-1
2,19,,"fyp, fyp%E3%82%B7, relatable, recommendations, jakewebber, pookie, cute",,1500000,54500,200300,49800,-1
2,20,,"grateful, barber, atl, viral, fyp, haircut, explore, funny, lineup, fade, prank, locs, dreads, tjwatkins01, 441kj",,907200,2361,108600,2588,-1
2,21,,"@bbelllav_, 6foot10, 4foot8, fyp, talltok, heightdifference",,310600,3943,16900,4180,-1
2,22,,"randomfacts, learnontiktok, factsyoudidntknow, random, fact, curiosities, satisfying, relaxing",,254800,25100,23500,226400,-1
2,23,,dog,,86000,458,8595,1118,-1
2,24,,"fyp, youladiesalright%3F, improv, basketball, dub",,685400,1471,55600,1205,-1
2,25,,,brookemonk_,2200000,4064,125200,3880,-1
2,26,,"frenchtoast, cooking, viral, fyp",,550600,971,72800,1929,-1
